scenario,model,seed,mean,std,mean_I,bound_hits
1,ppo,999,11.9804,1.1241,1.4208,0
1,ppo,999,13.4633,1.2570,1.6755,0
1,ppo,999,12.3577,1.1585,1.4797,0
1,ppo,999,13.9669,1.3510,1.8264,0
1,ppo,999,13.5559,1.2907,1.7510,0
2,ppo,999,16.4646,1.8757,1.6660,0
2,ppo,999,12.6396,2.0216,1.3835,0
2,ppo,999,15.8604,1.9579,1.3941,0
2,ppo,999,15.5411,1.9424,1.6517,45
2,ppo,999,18.1243,2.1064,1.9619,0
3,ppo,999,28.5548,5.4182,2.0346,0
3,ppo,999,25.8599,5.1130,1.5681,4
3,ppo,999,29.5110,5.7408,1.6567,0
3,ppo,999,26.1143,4.7769,1.9252,0
3,ppo,999,27.8130,5.3634,1.8214,0
