scenario,variant,model,seed,mean,std,mean_I,bound_hits
1,prob,ppo,999,11.7848,1.0458,1.4267,0
1,prob,ppo,999,14.2193,1.3024,1.9306,0
1,prob,ppo,999,14.8796,1.3470,2.0431,21
1,prob,ppo,999,13.1516,1.2513,1.6998,0
1,prob,ppo,999,13.4508,1.2134,1.6883,0
2,prob,ppo,999,20.7610,2.4486,2.0604,0
2,prob,ppo,999,19.7226,2.3817,2.1733,0
2,prob,ppo,999,16.8738,2.0540,1.7737,0
2,prob,ppo,999,18.9929,2.1778,1.9784,0
2,prob,ppo,999,17.3248,2.0598,1.8884,0
3,prob,ppo,999,34.8334,6.4889,2.5371,0
3,prob,ppo,999,31.5616,6.4460,1.4916,0
3,prob,ppo,999,34.2604,6.2668,2.4976,0
3,prob,ppo,999,31.4123,6.0680,1.9350,0
3,prob,ppo,999,29.6886,5.9848,1.6564,0
