scenario,variant,model,seed,mean,std,mean_I,bound_hits
1,reg,ppo,999,14.6535,1.3492,1.6824,0
1,reg,ppo,999,12.6307,1.2016,1.5889,0
1,reg,ppo,999,15.5271,1.3652,1.8629,0
1,reg,ppo,999,14.1416,1.2490,1.7051,0
1,reg,ppo,999,11.1401,1.0295,1.1944,0
2,reg,ppo,999,10.1744,1.4232,0.8808,0
2,reg,ppo,999,16.9880,2.2350,2.0128,0
2,reg,ppo,999,17.6598,2.1188,1.6932,0
2,reg,ppo,999,15.1605,1.7960,1.4030,0
2,reg,ppo,999,16.1158,1.9463,1.6066,0
3,reg,ppo,999,24.7435,5.0164,1.3222,0
3,reg,ppo,999,27.8893,5.3913,1.7954,0
3,reg,ppo,999,21.4374,4.4205,1.1834,0
3,reg,ppo,999,29.8629,5.6049,1.8708,4
3,reg,ppo,999,28.4456,5.2980,1.9529,0
