scenario,variant,psi,seed,mean,mean_I
1,hid,0.0,1,16.90,3.120
1,hid,0.0,2,22.49,3.770
1,hid,0.0,3,22.27,3.477
1,hid,0.0002,1,13.41,1.676
1,hid,0.0002,2,16.42,2.289
1,hid,0.0002,3,17.10,2.316
1,hid,0.0005,1,11.67,1.492
1,hid,0.0005,2,12.50,1.590
1,hid,0.0005,3,11.52,1.316
1,hid,0.001,1,9.17,1.061
1,hid,0.001,2,8.76,0.875
1,hid,0.001,3,8.30,0.865
1,hid,0.002,1,4.69,0.471
1,hid,0.002,2,5.71,0.590
1,hid,0.002,3,6.09,0.665
2,hid,0.0,1,23.21,3.658
2,hid,0.0,2,23.08,4.346
2,hid,0.0,3,27.66,3.695
2,hid,0.0002,1,20.23,2.466
2,hid,0.0002,2,13.78,1.515
2,hid,0.0002,3,22.05,2.347
2,hid,0.0005,1,17.15,1.738
2,hid,0.0005,2,13.40,1.431
2,hid,0.0005,3,17.95,1.655
2,hid,0.001,1,13.11,1.220
2,hid,0.001,2,11.39,1.130
2,hid,0.001,3,13.21,1.135
2,hid,0.002,1,9.74,0.865
2,hid,0.002,2,8.05,0.708
2,hid,0.002,3,7.97,0.714
3,hid,0.0,1,32.96,3.435
3,hid,0.0,2,29.56,2.664
3,hid,0.0,3,38.51,3.832
3,hid,0.0002,1,31.79,3.014
3,hid,0.0002,2,28.79,1.998
3,hid,0.0002,3,35.25,2.546
3,hid,0.0005,1,28.95,2.060
3,hid,0.0005,2,24.04,1.404
3,hid,0.0005,3,28.24,1.707
3,hid,0.001,1,24.91,1.452
3,hid,0.001,2,20.81,1.051
3,hid,0.001,3,24.00,1.251
3,hid,0.002,1,16.38,0.770
3,hid,0.002,2,16.22,0.730
3,hid,0.002,3,17.47,0.839
1,prob,0.0,1,23.39,5.079
1,prob,0.0,2,26.62,5.633
1,prob,0.0,3,25.87,6.569
1,prob,0.0002,1,19.64,2.785
1,prob,0.0002,2,21.01,4.033
1,prob,0.0002,3,20.37,4.099
1,prob,0.0005,1,12.99,1.491
1,prob,0.0005,2,12.42,2.455
1,prob,0.0005,3,15.00,2.112
1,prob,0.001,1,7.92,0.713
1,prob,0.001,2,7.17,0.721
1,prob,0.001,3,12.60,1.579
1,prob,0.002,1,6.51,0.612
1,prob,0.002,2,7.50,0.794
1,prob,0.002,3,8.85,0.971
2,prob,0.0,1,29.32,4.400
2,prob,0.0,2,26.96,4.180
2,prob,0.0,3,28.14,4.430
2,prob,0.0002,1,26.21,3.358
2,prob,0.0002,2,26.62,3.533
2,prob,0.0002,3,21.30,2.776
2,prob,0.0005,1,19.64,1.975
2,prob,0.0005,2,19.28,2.018
2,prob,0.0005,3,9.18,0.954
2,prob,0.001,1,15.42,1.363
2,prob,0.001,2,11.75,1.102
2,prob,0.001,3,13.27,1.288
2,prob,0.002,1,11.40,0.925
2,prob,0.002,2,9.94,0.795
2,prob,0.002,3,8.38,0.648
3,prob,0.0,1,41.17,4.047
3,prob,0.0,2,39.06,5.848
3,prob,0.0,3,43.84,4.956
3,prob,0.0002,1,39.10,3.875
3,prob,0.0002,2,36.12,3.786
3,prob,0.0002,3,39.21,3.345
3,prob,0.0005,1,32.15,2.205
3,prob,0.0005,2,31.20,1.749
3,prob,0.0005,3,34.42,1.963
3,prob,0.001,1,28.86,1.234
3,prob,0.001,2,26.57,1.266
3,prob,0.001,3,28.24,1.714
3,prob,0.002,1,21.78,1.058
3,prob,0.002,2,21.61,0.982
3,prob,0.002,3,25.11,1.127
1,reg,0.0,1,24.71,4.324
1,reg,0.0,2,22.45,3.906
1,reg,0.0,3,22.47,4.056
1,reg,0.0002,1,18.90,2.556
1,reg,0.0002,2,18.42,2.558
1,reg,0.0002,3,20.35,3.107
1,reg,0.0005,1,12.48,1.298
1,reg,0.0005,2,12.77,1.424
1,reg,0.0005,3,13.46,1.476
1,reg,0.001,1,11.05,1.156
1,reg,0.001,2,4.82,0.641
1,reg,0.001,3,11.66,1.339
1,reg,0.002,1,7.47,0.750
1,reg,0.002,2,6.90,0.656
1,reg,0.002,3,7.44,0.754
2,reg,0.0,1,28.29,4.086
2,reg,0.0,2,27.04,4.408
2,reg,0.0,3,26.18,3.694
2,reg,0.0002,1,23.26,3.013
2,reg,0.0002,2,23.19,2.720
2,reg,0.0002,3,22.88,2.886
2,reg,0.0005,1,15.10,1.450
2,reg,0.0005,2,17.04,1.839
2,reg,0.0005,3,15.82,1.516
2,reg,0.001,1,10.38,0.899
2,reg,0.001,2,10.38,0.917
2,reg,0.001,3,12.56,1.115
2,reg,0.002,1,7.71,0.657
2,reg,0.002,2,8.78,0.719
2,reg,0.002,3,9.21,0.797
3,reg,0.0,1,30.28,2.657
3,reg,0.0,2,37.04,3.681
3,reg,0.0,3,35.95,3.554
3,reg,0.0002,1,30.25,2.659
3,reg,0.0002,2,34.30,2.647
3,reg,0.0002,3,31.33,2.031
3,reg,0.0005,1,27.90,1.632
3,reg,0.0005,2,28.37,1.762
3,reg,0.0005,3,25.63,1.340
3,reg,0.001,1,17.52,0.890
3,reg,0.001,2,23.65,1.375
3,reg,0.001,3,15.38,0.728
3,reg,0.002,1,15.62,0.747
3,reg,0.002,2,17.10,0.869
3,reg,0.002,3,14.56,0.670
